localization_ref,source_group,scene_id,text_id,evidence_methods,named_labels,named_label_maps
Ambient_NW@PQDF@ANY2,Ambient_NW,PQDF,ANY2,NAMED_GNARL_LABEL,GNARL_DFAY_2,LM0A Netherworld.omp
Ambient_NW@PQDF@ANY3,Ambient_NW,PQDF,ANY3,NAMED_GNARL_LABEL,GNARL_DFAY_3,LM0A Netherworld.omp
Ambient_NW@PQDF@ANY4,Ambient_NW,PQDF,ANY4,NAMED_GNARL_LABEL,GNARL_DFAY_4,LM0A Netherworld.omp
Ambient_NW@PQGF@ANY1,Ambient_NW,PQGF,ANY1,NAMED_GNARL_LABEL,GNARL_GFAY_1,LM0A Netherworld.omp
Ambient_NW@PQGF@ANY2,Ambient_NW,PQGF,ANY2,NAMED_GNARL_LABEL,GNARL_GFAY_2,LM0A Netherworld.omp
Ambient_NW@PQGF@ANY3,Ambient_NW,PQGF,ANY3,NAMED_GNARL_LABEL,GNARL_GFAY_3,LM0A Netherworld.omp
Ambient_NW@PQGF@ANY4,Ambient_NW,PQGF,ANY4,NAMED_GNARL_LABEL,GNARL_GFAY_4,LM0A Netherworld.omp
Empire Arena@120@20,Empire Arena,120,20,NAMED_GNARL_LABEL,GNARL_REDS,LM4C Empire Arena.omp
Empire Arena@960@30,Empire Arena,960,30,NAMED_GNARL_LABEL,GNARL_GATE,LM4C Empire Arena.omp
Empire Assault@100@10,Empire Assault,100,10,NAMED_GNARL_LABEL,INITIAL_GNARL,LM4B Empire Assault.omp
Empire_Endbattle@430@30,Empire_Endbattle,430,30,NAMED_GNARL_LABEL,GNARL_ROSE,LM4E Empire Palace.omp
Empire_Endbattle@620@10,Empire_Endbattle,620,10,NAMED_GNARL_LABEL,GNARL_FLORIAN,LM4E Empire Palace.omp
Empire_Endbattle@640@30,Empire_Endbattle,640,30,NAMED_GNARL_LABEL,GNARL_MARIUS,LM4E Empire Palace.omp
Empire_Heartlands@210@10,Empire_Heartlands,210,10,NAMED_GNARL_LABEL,GNARL_GATE,LM4A Empire Heartlands.omp
Empire_Heartlands@215@10,Empire_Heartlands,215,10,NAMED_GNARL_LABEL,GNARL_GATE_2,LM4A Empire Heartlands.omp
Empire_Heartlands@250@20,Empire_Heartlands,250,20,NAMED_GNARL_LABEL,GNARL_SPIDER,LM4A Empire Heartlands.omp
Empire_Heartlands@300@10,Empire_Heartlands,300,10,NAMED_GNARL_LABEL,GNARL_TOWERHEART,LM4A Empire Heartlands.omp
Empire_Heartlands@315@10,Empire_Heartlands,315,10,NAMED_GNARL_LABEL,GNARL_TOWERHEART_2,LM4A Empire Heartlands.omp
Empire_Heartlands@500@10,Empire_Heartlands,500,10,NAMED_GNARL_LABEL,GNARL_GATE_3,LM4A Empire Heartlands.omp
Everlight_Facility@110@10,Everlight_Facility,110,10,NAMED_GNARL_LABEL,GNARL_FACILITY,LM2C Everlight Facility.omp
Everlight_Gates@130@10,Everlight_Gates,130,10,NAMED_GNARL_LABEL,GNARL_CATAPULT,LM2A Everlight Gates.omp
Everlight_Gates@160@10,Everlight_Gates,160,10,NAMED_GNARL_LABEL,GNARL_GATE,LM2A Everlight Gates.omp
Everlight_Jungle@230@10,Everlight_Jungle,230,10,NAMED_GNARL_LABEL,GNARL_SPIDER,LM2B Everlight Jungle A.omp
Everlight_Temple@110@10,Everlight_Temple,110,10,NAMED_GNARL_LABEL,GNARL_TEMPLE,LM2G Everlight Temple.omp
Hunting_Grounds@100@10,Hunting_Grounds,100,10,NAMED_GNARL_LABEL,INITIAL_GNARL,LM1A Hunting Grounds.omp
Hunting_Grounds@104@10,Hunting_Grounds,104,10,NAMED_GNARL_LABEL,GNARL_QUAVER,LM1A Hunting Grounds.omp
Hunting_Grounds@105@10,Hunting_Grounds,105,10,NAMED_GNARL_LABEL,GNARL_LIFEFORCE,LM1A Hunting Grounds.omp
Hunting_Grounds@106@10,Hunting_Grounds,106,10,NAMED_GNARL_LABEL,GNARL_LIFEFORCE_2,LM1A Hunting Grounds.omp
Hunting_Grounds@107@10,Hunting_Grounds,107,10,NAMED_GNARL_LABEL,GNARL_LIFEFORCE_3,LM1A Hunting Grounds.omp
Hunting_Grounds@108@10,Hunting_Grounds,108,10,NAMED_GNARL_LABEL,GNARL_LIFEFORCE_4,LM1A Hunting Grounds.omp
Hunting_Grounds@109@10,Hunting_Grounds,109,10,NAMED_GNARL_LABEL,GNARL_YETI,LM1A Hunting Grounds.omp
Hunting_Grounds@110@10,Hunting_Grounds,110,10,NAMED_GNARL_LABEL,GNARL_YETI_2,LM1A Hunting Grounds.omp
Hunting_Grounds@111@10,Hunting_Grounds,111,10,NAMED_GNARL_LABEL,GNARL_YETI_3,LM1A Hunting Grounds.omp
Hunting_Grounds@112@10,Hunting_Grounds,112,10,NAMED_GNARL_LABEL,GNARL_YETI_4,LM1A Hunting Grounds.omp
Hunting_Grounds@113@10,Hunting_Grounds,113,10,NAMED_GNARL_LABEL,GNARL_YETI_5,LM1A Hunting Grounds.omp
Hunting_Grounds@114@10,Hunting_Grounds,114,10,NAMED_GNARL_LABEL,GNARL_GRUBBY,LM1A Hunting Grounds.omp
Hunting_Grounds@114@30,Hunting_Grounds,114,30,NAMED_GNARL_LABEL,GNARL_GRUBBY_2,LM1A Hunting Grounds.omp
Hunting_Grounds@115@10,Hunting_Grounds,115,10,NAMED_GNARL_LABEL,GNARL_GATE,LM1A Hunting Grounds.omp
Hunting_Grounds@116@10,Hunting_Grounds,116,10,NAMED_GNARL_LABEL,GNARL_ICEFLOWS,LM1A Hunting Grounds.omp
Hunting_Grounds@117@10,Hunting_Grounds,117,10,NAMED_GNARL_LABEL,GNARL_ICEFLOWS_2,LM1A Hunting Grounds.omp
Hunting_Grounds@118@10,Hunting_Grounds,118,10,NAMED_GNARL_LABEL,GNARL_BROWN,LM1A Hunting Grounds.omp
Hunting_Grounds@119@10,Hunting_Grounds,119,10,NAMED_GNARL_LABEL,GNARL_BROWN_2,LM1A Hunting Grounds.omp
Hunting_Grounds@120@10,Hunting_Grounds,120,10,NAMED_GNARL_LABEL,GNARL_BROWN_3,LM1A Hunting Grounds.omp
Hunting_Grounds@200@40,Hunting_Grounds,200,40,NAMED_GNARL_LABEL,GNARL_QUAVER_2,LM1A Hunting Grounds.omp
Hunting_Grounds@210@10,Hunting_Grounds,210,10,NAMED_GNARL_LABEL,GNARL_TEST,LM1A Hunting Grounds.omp
Hunting_Grounds@220@10,Hunting_Grounds,220,10,NAMED_GNARL_LABEL,GNARL_TEST_2,LM1A Hunting Grounds.omp
Hunting_Grounds@230@10,Hunting_Grounds,230,10,NAMED_GNARL_LABEL,GNARL_TEST_3,LM1A Hunting Grounds.omp
MM_2@100@10,MM_2,100,10,NAMED_GNARL_LABEL,GNARL_MM2,LM0A Netherworld.omp
MiniMission_1@100@10,MiniMission_1,100,10,NAMED_GNARL_LABEL,GNARL_MM1,LM0A Netherworld.omp
MiniMission_9@100@10,MiniMission_9,100,10,NAMED_GNARL_LABEL,GNARL_MM9,LM0A Netherworld.omp
NW_B@TOUR@20,NW_B,TOUR,20,NAMED_GNARL_LABEL,GNARL_TOUR,LM0C Netherworld Burrows.omp
NW_F@100@10,NW_F,100,10,NAMED_GNARL_LABEL,GNARL_FOUNDATIONS,LM0D Netherworld Foundations.omp
NW_TR@BRIDGE@10,NW_TR,BRIDGE,10,FACE_ROUTING+NAMED_GNARL_LABEL,GNARL_BRIDGE_1,LM0A Netherworld.omp
NW_TR@BRIDGE@20,NW_TR,BRIDGE,20,NAMED_GNARL_LABEL,GNARL_BRIDGE_2,LM0A Netherworld.omp
NW_TR@BRIDGE@30,NW_TR,BRIDGE,30,FACE_ROUTING+NAMED_GNARL_LABEL,GNARL_BRIDGE_3,LM0A Netherworld.omp
NW_TR@BRIDGE@40,NW_TR,BRIDGE,40,FACE_ROUTING+NAMED_GNARL_LABEL,GNARL_BRIDGE_4,LM0A Netherworld.omp
NW_TR@CHUNK5@60A,NW_TR,CHUNK5,60A,FACE_ROUTING+NAMED_GNARL_LABEL,GNARL_CHUNK5_60A,LM0A Netherworld.omp
NW_TR@CHUNK5@70A,NW_TR,CHUNK5,70A,FACE_ROUTING+NAMED_GNARL_LABEL,GNARL_CHUNK5_70A,LM0A Netherworld.omp
NW_TR@DFAYR1@ACC2,NW_TR,DFAYR1,ACC2,SPEAK_ACTOR+NAMED_GNARL_LABEL,GNARL_DFAY_R1_ACC2,LM0A Netherworld.omp
NW_TR@DFAYR1@DEC2,NW_TR,DFAYR1,DEC2,SPEAK_ACTOR+NAMED_GNARL_LABEL,GNARL_DFAY_R1_DEC2,LM0A Netherworld.omp
NW_TR@DFAYR2@ACC2,NW_TR,DFAYR2,ACC2,SPEAK_ACTOR+NAMED_GNARL_LABEL,GNARL_DFAY_R2_ACC2,LM0A Netherworld.omp
NW_TR@DFAYR2@DEC2,NW_TR,DFAYR2,DEC2,NAMED_GNARL_LABEL,GNARL_DFAY_R2_DEC2,LM0A Netherworld.omp
NW_TR@GFAYR1@ACC2,NW_TR,GFAYR1,ACC2,SPEAK_ACTOR+NAMED_GNARL_LABEL,GNARL_GFAY_R1_ACC2,LM0A Netherworld.omp
NW_TR@GFAYR1@DEC2,NW_TR,GFAYR1,DEC2,SPEAK_ACTOR+NAMED_GNARL_LABEL,GNARL_GFAY_R1_DEC2,LM0A Netherworld.omp
NW_TR@GFAYR2@ACC2,NW_TR,GFAYR2,ACC2,SPEAK_ACTOR+NAMED_GNARL_LABEL,GNARL_GFAY_R2_ACC2,LM0A Netherworld.omp
NW_TR@GFAYR2@DEC,NW_TR,GFAYR2,DEC,SPEAK_ACTOR+NAMED_GNARL_LABEL,GNARL_GFAY_R2_DEC,LM0A Netherworld.omp
NW_TR@IMAGIC@10,NW_TR,IMAGIC,10,NAMED_GNARL_LABEL,GNARL_MAGIC_INTERFACE,LM0A Netherworld.omp
NW_TR@J_ARR@40,NW_TR,J_ARR,40,NAMED_GNARL_LABEL,GNARL_ANNOUNCEMENT,LM0A Netherworld.omp
NW_TR@JUNOR1@ACC2,NW_TR,JUNOR1,ACC2,SPEAK_ACTOR+NAMED_GNARL_LABEL,GNARL_JUNO_R1_ACC2,LM0A Netherworld.omp
NW_TR@JUNOR1@DEC2,NW_TR,JUNOR1,DEC2,SPEAK_ACTOR+NAMED_GNARL_LABEL,GNARL_JUNO_R1_DEC2,LM0A Netherworld.omp
NW_TR@JUNOR2@ACC2,NW_TR,JUNOR2,ACC2,SPEAK_ACTOR+NAMED_GNARL_LABEL,GNARL_JUNO_R2_ACC2,LM0A Netherworld.omp
NW_TR@JUNOR2@DEC2,NW_TR,JUNOR2,DEC2,SPEAK_ACTOR+NAMED_GNARL_LABEL,GNARL_JUNO_R2_DEC2,LM0A Netherworld.omp
NW_TR@KELDAR1@ACC2,NW_TR,KELDAR1,ACC2,SPEAK_ACTOR+NAMED_GNARL_LABEL,GNARL_KELDA_R1_ACC2,LM0A Netherworld.omp
NW_TR@KELDAR1@DEC2,NW_TR,KELDAR1,DEC2,SPEAK_ACTOR+NAMED_GNARL_LABEL,GNARL_KELDA_R1_DEC2,LM0A Netherworld.omp
NW_TR@KELDAR2@ACC2,NW_TR,KELDAR2,ACC2,SPEAK_ACTOR+NAMED_GNARL_LABEL,GNARL_KELDA_R2_ACC2,LM0A Netherworld.omp
NW_TR@KELDAR2@DEC2,NW_TR,KELDAR2,DEC2,SPEAK_ACTOR+NAMED_GNARL_LABEL,GNARL_KELDA_R2_DEC2,LM0A Netherworld.omp
NW_TR@K_A@10,NW_TR,K_A,10,FACE_ROUTING+NAMED_GNARL_LABEL,GNARL_K_A,LM0A Netherworld.omp
NW_TR@MAGIC@10,NW_TR,MAGIC,10,NAMED_GNARL_LABEL,GNARL_MAGIC_AMBIENT,LM0A Netherworld.omp
NW_TR@MM1@ACC2,NW_TR,MM1,ACC2,FACE_ROUTING+NAMED_GNARL_LABEL,CS_GNARL_MM1_ACC2,LM0A Netherworld.omp
NW_TR@MM1@DEC2,NW_TR,MM1,DEC2,FACE_ROUTING+NAMED_GNARL_LABEL,CS_GNARL_MM1_DEC2,LM0A Netherworld.omp
NW_TR@MM1@DEC3,NW_TR,MM1,DEC3,FACE_ROUTING+NAMED_GNARL_LABEL,CS_GNARL_MM1_DEC3,LM0A Netherworld.omp
NW_TR@MM2@ACC2,NW_TR,MM2,ACC2,FACE_ROUTING+NAMED_GNARL_LABEL,CS_GNARL_MM2_ACC2,LM0A Netherworld.omp
NW_TR@MM2@DEC2,NW_TR,MM2,DEC2,FACE_ROUTING+NAMED_GNARL_LABEL,CS_GNARL_MM2_DEC2,LM0A Netherworld.omp
NW_TR@MM5@ACC2,NW_TR,MM5,ACC2,FACE_ROUTING+NAMED_GNARL_LABEL,CS_GNARL_MM5_ACC2,LM0A Netherworld.omp
NW_TR@MM5@DEC,NW_TR,MM5,DEC,FACE_ROUTING+NAMED_GNARL_LABEL,CS_GNARL_MM5_DEC,LM0A Netherworld.omp
NW_TR@PREP1@10,NW_TR,PREP1,10,NAMED_GNARL_LABEL,CS_GNARL_CHOICE1,LM0A Netherworld.omp
NW_TR@PREP1@20,NW_TR,PREP1,20,NAMED_GNARL_LABEL,CS_GNARL_CHOICE2,LM0A Netherworld.omp
NW_TR@PREP1@30,NW_TR,PREP1,30,NAMED_GNARL_LABEL,CS_GNARL_CHOICE3,LM0A Netherworld.omp
NW_TR@PREP1@40,NW_TR,PREP1,40,NAMED_GNARL_LABEL,CS_GNARL_CHOICE4,LM0A Netherworld.omp
NW_TR@PREP1@50,NW_TR,PREP1,50,NAMED_GNARL_LABEL,CS_GNARL_CHOICE5,LM0A Netherworld.omp
NW_TR@PREP2@10,NW_TR,PREP2,10,FACE_ROUTING+NAMED_GNARL_LABEL,GNARL_PREP2_1,LM0A Netherworld.omp
NW_TR@PREP2@20,NW_TR,PREP2,20,FACE_ROUTING+NAMED_GNARL_LABEL,GNARL_PREP2_2,LM0A Netherworld.omp
NW_TR@PREP2@30,NW_TR,PREP2,30,FACE_ROUTING+NAMED_GNARL_LABEL,GNARL_PREP2_3,LM0A Netherworld.omp
NW_TR@PREP2@50,NW_TR,PREP2,50,FACE_ROUTING+NAMED_GNARL_LABEL,GNARL_PREP2_5,LM0A Netherworld.omp
NW_TR@ROSE@10,NW_TR,ROSE,10,FACE_ROUTING+NAMED_GNARL_LABEL,GNARL_ROSE_1,LM0A Netherworld.omp
NW_TR@ROSE@15,NW_TR,ROSE,15,FACE_ROUTING+NAMED_GNARL_LABEL,GNARL_ROSE_2,LM0A Netherworld.omp
NW_TR@ROSE@30,NW_TR,ROSE,30,FACE_ROUTING+NAMED_GNARL_LABEL,GNARL_ROSE_3,LM0A Netherworld.omp
NW_TR@ROSE@35,NW_TR,ROSE,35,SPEAK_ACTOR+NAMED_GNARL_LABEL,GNARL_ROSE_35,LM0A Netherworld.omp
NW_TR@ROSE@45,NW_TR,ROSE,45,FACE_ROUTING+NAMED_GNARL_LABEL,GNARL_ROSE_45,LM0A Netherworld.omp
NW_TR@ROSE@50,NW_TR,ROSE,50,FACE_ROUTING+NAMED_GNARL_LABEL,GNARL_ROSE_50,LM0A Netherworld.omp
NW_TR@ROSE@55,NW_TR,ROSE,55,FACE_ROUTING+NAMED_GNARL_LABEL,GNARL_ROSE_55,LM0A Netherworld.omp
NW_TR@ROSE@65,NW_TR,ROSE,65,FACE_ROUTING+NAMED_GNARL_LABEL,GNARL_ROSE_65,LM0A Netherworld.omp
NW_TR@ROSE@70,NW_TR,ROSE,70,FACE_ROUTING+NAMED_GNARL_LABEL,GNARL_ROSE_70,LM0A Netherworld.omp
NW_TR@START@15,NW_TR,START,15,FACE_ROUTING+NAMED_GNARL_LABEL,INITIAL_GNARL_1,LM0A Netherworld.omp
NW_TR@START@20,NW_TR,START,20,FACE_ROUTING+NAMED_GNARL_LABEL,INITIAL_GNARL_2,LM0A Netherworld.omp
NW_TR@START@40,NW_TR,START,40,FACE_ROUTING+NAMED_GNARL_LABEL,INITIAL_GNARL_4,LM0A Netherworld.omp
NW_TR@START@55,NW_TR,START,55,FACE_ROUTING+NAMED_GNARL_LABEL,INITIAL_GNARL_55,LM0A Netherworld.omp
NW_TR@START@70,NW_TR,START,70,FACE_ROUTING+NAMED_GNARL_LABEL,INITIAL_GNARL_7,LM0A Netherworld.omp
NW_TR@START@80,NW_TR,START,80,FACE_ROUTING+NAMED_GNARL_LABEL,INITIAL_GNARL_8,LM0A Netherworld.omp
NW_TR@START@90,NW_TR,START,90,FACE_ROUTING+NAMED_GNARL_LABEL,INITIAL_GNARL_9,LM0A Netherworld.omp
NW_TR@TOURPQ@10,NW_TR,TOURPQ,10,NAMED_GNARL_LABEL,GNARL_TOURS,LM0A Netherworld.omp
Wasteland_Sanctuary@100@10,Wasteland_Sanctuary,100,10,NAMED_GNARL_LABEL,GNARL_SANCTUARY_1,LM3C Wasteland Sanctuary Town.omp
Wasteland_Sanctuary@100@20,Wasteland_Sanctuary,100,20,NAMED_GNARL_LABEL,GNARL_SANCTUARY_2,LM3C Wasteland Sanctuary Town.omp
Wasteland_Sanctuary@100@30,Wasteland_Sanctuary,100,30,NAMED_GNARL_LABEL,GNARL_SANCTUARY_3,LM3C Wasteland Sanctuary Town.omp
Wasteland_Sanctuary@100@40,Wasteland_Sanctuary,100,40,NAMED_GNARL_LABEL,GNARL_SANCTUARY_4,LM3C Wasteland Sanctuary Town.omp
Wasteland_Sanctuary@100@50,Wasteland_Sanctuary,100,50,NAMED_GNARL_LABEL,GNARL_SANCTUARY_5,LM3C Wasteland Sanctuary Town.omp
Wasteland_Sanctuary@110@10,Wasteland_Sanctuary,110,10,NAMED_GNARL_LABEL,GNARL_SANCTUARY_6,LM3C Wasteland Sanctuary Town.omp
Wasteland_Sanctuary@110@20,Wasteland_Sanctuary,110,20,NAMED_GNARL_LABEL,GNARL_SANCTUARY_7,LM3C Wasteland Sanctuary Town.omp
Wasteland_Sanctuary@110@30,Wasteland_Sanctuary,110,30,NAMED_GNARL_LABEL,GNARL_SANCTUARY_8,LM3C Wasteland Sanctuary Town.omp
Wasteland_Sanctuary@120@10,Wasteland_Sanctuary,120,10,NAMED_GNARL_LABEL,GNARL_SANCTUARY_9,LM3C Wasteland Sanctuary Town.omp
Wasteland_Sanctuary@120@20,Wasteland_Sanctuary,120,20,NAMED_GNARL_LABEL,GNARL_SANCTUARY_10,LM3C Wasteland Sanctuary Town.omp
Wasteland_Sanctuary@120@30,Wasteland_Sanctuary,120,30,NAMED_GNARL_LABEL,GNARL_SANCTUARY_11,LM3C Wasteland Sanctuary Town.omp
Wasteland_Sanctuary@130@10,Wasteland_Sanctuary,130,10,NAMED_GNARL_LABEL,GNARL_SANCTUARY_12,LM3C Wasteland Sanctuary Town.omp
Wasteland_Sanctuary@130@20,Wasteland_Sanctuary,130,20,NAMED_GNARL_LABEL,GNARL_SANCTUARY_13,LM3C Wasteland Sanctuary Town.omp
Wasteland_Sanctuary@130@30,Wasteland_Sanctuary,130,30,NAMED_GNARL_LABEL,GNARL_SANCTUARY_14,LM3C Wasteland Sanctuary Town.omp
Wasteland_Sanctuary@140@10,Wasteland_Sanctuary,140,10,NAMED_GNARL_LABEL,GNARL_SANCTUARY_15,LM3C Wasteland Sanctuary Town.omp
Wasteland_Sanctuary@140@20,Wasteland_Sanctuary,140,20,NAMED_GNARL_LABEL,GNARL_SANCTUARY_16,LM3C Wasteland Sanctuary Town.omp
Wasteland_Sanctuary@140@30,Wasteland_Sanctuary,140,30,NAMED_GNARL_LABEL,GNARL_SANCTUARY_17,LM3C Wasteland Sanctuary Town.omp
Wasteland_Sanctuary@150@10,Wasteland_Sanctuary,150,10,NAMED_GNARL_LABEL,GNARL_SANCTUARY_18,LM3C Wasteland Sanctuary Town.omp
Wasteland_Sanctuary@150@20,Wasteland_Sanctuary,150,20,NAMED_GNARL_LABEL,GNARL_SANCTUARY_19,LM3C Wasteland Sanctuary Town.omp
Wasteland_Sanctuary@160@10,Wasteland_Sanctuary,160,10,NAMED_GNARL_LABEL,GNARL_SANCTUARY_20,LM3C Wasteland Sanctuary Town.omp
Wasteland_Sanctuary@160@20,Wasteland_Sanctuary,160,20,NAMED_GNARL_LABEL,GNARL_SANCTUARY_21,LM3C Wasteland Sanctuary Town.omp
Wasteland_Sanctuary@170@10,Wasteland_Sanctuary,170,10,NAMED_GNARL_LABEL,GNARL_SANCTUARY_22,LM3C Wasteland Sanctuary Town.omp
Wasteland_Sanctuary@170@20,Wasteland_Sanctuary,170,20,NAMED_GNARL_LABEL,GNARL_SANCTUARY_23,LM3C Wasteland Sanctuary Town.omp
Wasteland_Sanctuary@180@10,Wasteland_Sanctuary,180,10,NAMED_GNARL_LABEL,GNARL_SANCTUARY_24,LM3C Wasteland Sanctuary Town.omp
Wasteland_Sanctuary@180@20,Wasteland_Sanctuary,180,20,NAMED_GNARL_LABEL,GNARL_SANCTUARY_25,LM3C Wasteland Sanctuary Town.omp
Wasteland_Sanctuary@190@10,Wasteland_Sanctuary,190,10,NAMED_GNARL_LABEL,GNARL_SANCTUARY_26,LM3C Wasteland Sanctuary Town.omp
Wasteland_Sanctuary@190@20,Wasteland_Sanctuary,190,20,NAMED_GNARL_LABEL,GNARL_SANCTUARY_27,LM3C Wasteland Sanctuary Town.omp
Wasteland_Sanctuary@200@10,Wasteland_Sanctuary,200,10,NAMED_GNARL_LABEL,GNARL_SANCTUARY_28,LM3C Wasteland Sanctuary Town.omp
Wasteland_Sanctuary@200@20,Wasteland_Sanctuary,200,20,NAMED_GNARL_LABEL,GNARL_SANCTUARY_29,LM3C Wasteland Sanctuary Town.omp
Wasteland_Sanctuary@210@10,Wasteland_Sanctuary,210,10,NAMED_GNARL_LABEL,GNARL_SANCTUARY_30,LM3C Wasteland Sanctuary Town.omp
Wasteland_Sanctuary@210@20,Wasteland_Sanctuary,210,20,NAMED_GNARL_LABEL,GNARL_SANCTUARY_31,LM3C Wasteland Sanctuary Town.omp
Wasteland_Sanctuary@220@10,Wasteland_Sanctuary,220,10,NAMED_GNARL_LABEL,GNARL_SANCTUARY_32,LM3C Wasteland Sanctuary Town.omp
